iic_power_vs_random,iic_power_vs_not_in_largest_mcs,iic_power_vs_weakening
0.9990288905074047,0.9897959183673469,0.5
1.0,0.9952815350739226,0.9950518754988029
0.9983182406209573,0.5,0.5
1.0,0.5,0.5
0.9967855502831777,0.9967840735068912,0.9965272753581247
0.9987012987012988,0.5,0.9896907216494846
0.996832709473078,0.996832709473078,0.996832709473078
0.9996219996219996,0.9897959183673469,0.9986080731755816
1.0,0.5,0.5
0.996551724137931,0.9897959183673469,0.999616319222407
0.998598369011213,0.5,0.5
0.9980940279542567,0.992208285822881,0.992208285822881
1.0,0.9897959183673469,0.9897959183673469
0.9995522388059701,0.5,0.5
0.9991326973113617,0.5,0.5
0.9982680233816843,0.9897959183673469,0.9897959183673469
0.9964533538936006,0.5,0.5
0.999616515403298,0.996208131451443,0.5
1.0,0.5,0.9897959183673469
0.5,0.9897959183673469,0.9897959183673469
0.9991337705729489,0.9990096558554098,0.9980309792596482
0.9994294842537654,0.9981654436290861,0.9979757085020243
0.9996262148018938,0.9897959183673469,0.9991834512792597
0.9991896272285251,0.5,0.5
0.5,0.5,0.5
1.0,0.9975520195838433,0.997523603157406
0.9992612656981039,0.5,0.5
0.9989594172736732,0.5,0.5
1.0,0.5,0.5
0.9953688389017532,0.9897959183673469,0.5
0.9977120195241,0.5,0.9897959183673469
0.9992760617760618,0.9897959183673469,0.5
0.9995648389904265,0.5,0.9993818575181579
1.0,0.9897959183673469,0.5
0.9996596710153148,0.9956916448684413,0.9897959183673469
0.9951498354408453,0.5,0.5
0.999305957200694,0.9967128769472631,0.996523754345307
0.9897959183673469,0.9934245601563888,0.9934245601563888
0.9994212962962963,0.5,0.5
0.9984865162355531,0.5,0.5
1.0,0.9897959183673469,0.9979372937293729
0.9983943949788352,0.5,0.5
0.996551724137931,0.996999399879976,0.5
0.999872351289252,0.5,0.5
0.9983831851253031,0.9897959183673469,0.5
0.5,0.5,0.9897959183673469
0.9971624850657109,0.5,0.9979331078541902
1.0,0.9897959183673469,0.9897959183673469
0.5,0.9936395759717315,0.5
0.9996521739130435,0.5,0.5
1.0,0.5,0.5
1.0,0.5,0.5
0.9993050729673384,0.5,0.9944294395678596
0.9988654413433175,0.9988151658767772,0.5
1.0,0.5,0.5
0.9985074626865672,0.9897959183673469,0.5
1.0,0.5,0.9897959183673469
0.9994209612044007,0.9897959183673469,0.5
1.0,0.9987075093705571,0.9988888888888889
1.0,0.5,0.5
1.0,0.5,0.5
1.0,0.5,0.5
0.5,0.5,0.5
0.9970746728252502,0.5,0.5
0.9996479699601033,0.9897959183673469,0.5
0.9989994997498749,0.5,0.9897959183673469
0.9932672526650458,0.9932672526650458,0.9936991869918699
0.999043062200957,0.9897959183673469,0.5
0.9987639060568603,0.9981554069633387,0.5
0.9976518931611388,0.5,0.5
0.9991993594875901,0.5,0.5
0.9991405770411296,0.5,0.5
0.9972402373395888,0.5,0.5
1.0,0.9897959183673469,0.5
0.9942895532415184,0.9942828316798386,0.9947238252267107
0.9991172761664565,0.9948453608247423,0.5
0.9991319444444444,0.9948453608247423,0.5
0.9990222917481424,0.9897959183673469,0.5
1.0,0.5,0.5
0.9989576094510076,0.9897959183673469,0.5
1.0,0.5,0.5
1.0,0.5,0.5
1.0,0.5,0.9897959183673469
0.9993872549019608,0.9897959183673469,0.9897959183673469
0.9968701095461658,0.5,0.5
1.0,0.9995781184081002,0.5
1.0,0.5,0.5
0.9985341542069774,0.997299872935197,0.9972651222651223
0.9995143273433705,0.9897959183673469,0.9897959183673469
1.0,0.5,0.5
0.9988612639969634,0.5,0.5
0.9988446726572529,0.9982597054886212,0.9985248759554781
1.0,0.5,0.5
0.996551724137931,0.5,0.9897959183673469
1.0,0.5,0.5
1.0,0.5,0.5
1.0,0.5,0.5
0.9964275081869604,0.5,0.5
0.9990245261984393,0.5,0.5
0.9990428790199081,0.5,0.9953106682297772
